control,V,regime,K,action,count,total
channel2,0,PHYSICAL_SHIFT,16,20,64,240
channel2,0,PHYSICAL_SHIFT,16,22,27,240
channel2,0,PHYSICAL_SHIFT,16,32,9,240
channel2,0,PHYSICAL_SHIFT,16,34,5,240
channel2,0,PHYSICAL_SHIFT,16,36,25,240
channel2,0,PHYSICAL_SHIFT,16,38,17,240
channel2,0,PHYSICAL_SHIFT,16,42,1,240
channel2,0,PHYSICAL_SHIFT,16,44,8,240
channel2,0,PHYSICAL_SHIFT,16,46,4,240
channel2,0,PHYSICAL_SHIFT,32,7,2,240
channel2,0,PHYSICAL_SHIFT,32,9,1,240
channel2,0,PHYSICAL_SHIFT,32,13,1,240
channel2,0,PHYSICAL_SHIFT,32,15,33,240
channel2,0,PHYSICAL_SHIFT,32,20,90,240
channel2,0,PHYSICAL_SHIFT,32,22,24,240
channel2,0,PHYSICAL_SHIFT,32,32,1,240
channel2,0,PHYSICAL_SHIFT,32,36,59,240
channel2,0,PHYSICAL_SHIFT,32,38,16,240
channel2,0,PHYSICAL_SHIFT,32,44,10,240
channel2,0,PHYSICAL_SHIFT,32,46,3,240
channel2,0,PHYSICAL_SHIFT,48,15,33,240
channel2,0,PHYSICAL_SHIFT,48,20,122,240
channel2,0,PHYSICAL_SHIFT,48,36,69,240
channel2,0,PHYSICAL_SHIFT,48,44,16,240
channel2,1,NOMINAL,1,0,240,240
channel2,1,NOMINAL,2,0,216,240
channel2,1,NOMINAL,2,7,6,240
channel2,1,NOMINAL,2,11,6,240
channel2,1,NOMINAL,2,20,4,240
channel2,1,NOMINAL,2,32,5,240
channel2,1,NOMINAL,2,36,3,240
channel2,1,NOMINAL,4,0,163,240
channel2,1,NOMINAL,4,7,14,240
channel2,1,NOMINAL,4,11,13,240
channel2,1,NOMINAL,4,16,2,240
channel2,1,NOMINAL,4,20,18,240
channel2,1,NOMINAL,4,32,16,240
channel2,1,NOMINAL,4,36,14,240
channel2,1,NOMINAL,8,0,99,240
channel2,1,NOMINAL,8,7,24,240
channel2,1,NOMINAL,8,11,22,240
channel2,1,NOMINAL,8,16,7,240
channel2,1,NOMINAL,8,20,40,240
channel2,1,NOMINAL,8,32,21,240
channel2,1,NOMINAL,8,36,27,240
channel2,1,NOMINAL,16,0,33,240
channel2,1,NOMINAL,16,7,31,240
channel2,1,NOMINAL,16,11,28,240
channel2,1,NOMINAL,16,16,10,240
channel2,1,NOMINAL,16,20,71,240
channel2,1,NOMINAL,16,32,22,240
channel2,1,NOMINAL,16,36,45,240
channel2,1,NOMINAL,32,0,1,240
channel2,1,NOMINAL,32,7,25,240
channel2,1,NOMINAL,32,11,3,240
channel2,1,NOMINAL,32,16,2,240
channel2,1,NOMINAL,32,20,111,240
channel2,1,NOMINAL,32,32,18,240
channel2,1,NOMINAL,32,36,80,240
channel2,1,NOMINAL,48,7,19,240
channel2,1,NOMINAL,48,20,122,240
channel2,1,NOMINAL,48,36,99,240
channel2,1,PHYSICAL_SHIFT,1,0,240,240
channel2,1,PHYSICAL_SHIFT,2,0,216,240
channel2,1,PHYSICAL_SHIFT,2,7,6,240
channel2,1,PHYSICAL_SHIFT,2,11,6,240
channel2,1,PHYSICAL_SHIFT,2,20,4,240
channel2,1,PHYSICAL_SHIFT,2,32,5,240
channel2,1,PHYSICAL_SHIFT,2,36,3,240
channel2,1,PHYSICAL_SHIFT,4,0,163,240
channel2,1,PHYSICAL_SHIFT,4,7,14,240
channel2,1,PHYSICAL_SHIFT,4,11,13,240
channel2,1,PHYSICAL_SHIFT,4,16,2,240
channel2,1,PHYSICAL_SHIFT,4,20,18,240
channel2,1,PHYSICAL_SHIFT,4,32,16,240
channel2,1,PHYSICAL_SHIFT,4,36,14,240
channel2,1,PHYSICAL_SHIFT,8,0,100,240
channel2,1,PHYSICAL_SHIFT,8,7,25,240
channel2,1,PHYSICAL_SHIFT,8,11,22,240
channel2,1,PHYSICAL_SHIFT,8,16,6,240
channel2,1,PHYSICAL_SHIFT,8,20,39,240
channel2,1,PHYSICAL_SHIFT,8,32,21,240
channel2,1,PHYSICAL_SHIFT,8,36,27,240
channel2,1,PHYSICAL_SHIFT,16,0,33,240
channel2,1,PHYSICAL_SHIFT,16,7,32,240
channel2,1,PHYSICAL_SHIFT,16,11,28,240
channel2,1,PHYSICAL_SHIFT,16,16,10,240
channel2,1,PHYSICAL_SHIFT,16,20,71,240
channel2,1,PHYSICAL_SHIFT,16,32,22,240
channel2,1,PHYSICAL_SHIFT,16,36,44,240
channel2,1,PHYSICAL_SHIFT,32,0,1,240
channel2,1,PHYSICAL_SHIFT,32,7,29,240
channel2,1,PHYSICAL_SHIFT,32,11,5,240
channel2,1,PHYSICAL_SHIFT,32,16,1,240
channel2,1,PHYSICAL_SHIFT,32,20,107,240
channel2,1,PHYSICAL_SHIFT,32,32,19,240
channel2,1,PHYSICAL_SHIFT,32,36,78,240
channel2,1,PHYSICAL_SHIFT,48,7,26,240
channel2,1,PHYSICAL_SHIFT,48,20,122,240
channel2,1,PHYSICAL_SHIFT,48,36,92,240
